Period;StationName;SurveillanceZoneCharacteristics;AdmArea;District;Parameter;MonthlyAverage;MonthlyAveragePDKss;Longitude;Latitude
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.66059235016695;55.7692907571419
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.664818784513216;55.76514258963613
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.671203396753015;55.76084219360368
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.67151164049932;55.75458568801386
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.68194284032842;55.751484593667016
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.6849103367843;55.75786065787034
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.67600784659041;55.765753388402885
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.67265669714209;55.769307955747365
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.666355931065624;55.77062655354118
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Взвешенные частицы РМ2.5;0;0.49;37.66059235016695;55.7692907571419
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.5616399306094;55.71685525755632
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.566000815687204;55.722624535052375
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.570175292364354;55.726222648354224
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.565001018411834;55.73331220512
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.56980166664448;55.74184134311224
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.562078884471134;55.74172384757057
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.55099501493936;55.73648461270432
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.54619436651646;55.7266123982819
май.22;Хамовники;Вблизи автомагистралей;Центральный административный округ;район Хамовники;Взвешенные частицы РМ2.5 (суточные измерения);0;0.20;37.55287352917097;55.72085245319332
