Period;StationName;SurveillanceZoneCharacteristics;AdmArea;District;Parameter;MonthlyAverage;MonthlyAveragePDKss;Longitude;Latitude
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.66815994750732;55.764672792245364
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.66844571054207;55.76370817021143
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.6714335107431;55.76329588132475
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67329097048662;55.763697814321944
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67529131174916;55.76474282072357
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67700589003232;55.76498397205776
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67895608542679;55.76593445707775
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67862017636085;55.76664377933855
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67833441332442;55.767849462366314
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67647695358082;55.76817097154321
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67447661231827;55.767929839909186
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.67461949383724;55.76680453922978
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.6734764416303;55.76624187670444
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.66953710172194;55.76585722488133
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.667822523494834;55.7656964610843
янв.22;Казакова;Жилые территории;Центральный административный округ;Басманный район;Метан;0.02;0;37.66815994750732;55.764672792245364
сен.22;Чаянова;Жилые территории;Центральный административный округ;Тверской район;Метан;0.07;0;37.60541216231775;55.76744797164781
сен.22;Чаянова;Жилые территории;Центральный административный округ;Тверской район;Метан;0.07;0;37.60406289753078;55.76422194707084
сен.22;Чаянова;Жилые территории;Центральный административный округ;Тверской район;Метан;0.07;0;37.60541216231775;55.76545545857567
